gender,smoking,premium_base_rate by age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
male,nonsmoker,0,0,0,0,0,0,0,0,0,0,0.599817965,0.645200167,0.736623591,0.816899623,0.871809136,0.97309008,1.020330808,1.115833467,1.129901797,1.179182896,1.191346422,1.208657581,1.179695806,1.148380396,1.139723742,1.084730718,1.058028312,1.043645647,0.998211687,0.961486804,0.908364035,0.913839172,0.874512901,0.891700945,0.879911971,0.897047949,0.931830005,0.972020115,1.008304144,1.089744801,1.167856604,1.258271242,1.352128894,1.447703612,1.599416837,1.758546724,1.966854691,2.170165385,2.907575509,2.893844038,3.131444868,3.541987864,4.068581372,4.367462987,4.966299615,5.730688358,6.156387106,7.270176856,7.936504944,8.813562705,10.24294186,11.86073072,13.05410582,15.05176192,17.94027253,20.62741764,23.50004511,27.09804457,31.14378626,35.22554842,39.82329572,44.45017355,50.06509803,55.82123528,62.65874626,69.7671741,77.11488317,86.00589967,95.29440651,105.7182458,117.1966284,129.9424753,143.7269711,159.6109007,176.6984942,195.9699987,217.6263206,241.4770437,267.9542593,297.8336411,330.8155595,367.3887921,407.7763284,452.9843095,503.1155703,558.234351,619.4269989,686.5314149,760.8052375,842.7914754,932.5440903,0,0,0,0,0,0,0,0,0,0
female,nonsmoker,0,0,0,0,0,0,0,0,0,0,0.845924497,0.823424584,0.805770986,0.81470262,0.799784087,0.758502745,0.767223754,0.707627469,0.719150645,0.699779945,0.681441102,0.62799068,0.61623581,0.615370147,0.586937386,0.604508329,0.580016462,0.609035667,0.594065852,0.618641902,0.622310182,0.595490128,0.622459277,0.663754211,0.700093094,0.705038453,0.763382464,0.794453521,0.839740005,0.887212592,0.972014948,1.036570807,1.110268921,1.21215206,1.343012611,1.466274148,1.627977349,1.798108068,2.001260409,2.585977635,2.637421681,3.218099956,3.215197281,3.747496837,4.090092439,4.461519205,5.118333384,5.442471227,6.299691443,6.93028716,7.711366684,8.481549732,9.363953211,10.74817812,11.85560271,13.50767932,15.26913496,17.26102618,19.10689289,21.88570111,24.5063083,27.85438955,31.4110846,35.60001448,40.40452946,45.4457614,51.16386989,57.20310513,64.4487102,72.44258319,81.15910852,90.48493287,101.2478986,113.376978,127.3237757,142.8731773,160.2477395,178.9057431,199.8195362,223.1281295,248.2271902,275.7528876,306.7601805,340.1813408,377.5246586,419.2228644,464.9577697,516.0487335,572.6904809,635.7022903,705.6774471,0,0,0,0,0,0,0,0,0,0
male,smoker,0,0,0,0,0,0,0,0,0,0,0.621747206,0.707671491,0.779722346,0.88508468,0.971475848,1.028751528,1.084115063,1.152412028,1.232859122,2.045150383,2.094725052,2.082437013,2.088559178,2.03030583,2.007456103,1.944999929,1.923648076,1.844581202,1.82435627,1.796437429,1.790418675,1.805362466,1.862467664,1.872704245,1.949924576,2.056344339,2.175159311,2.302652112,2.43614921,2.625724842,2.829579501,3.060315793,3.330122362,3.630212786,4.006115748,4.365195569,4.835170555,5.333455462,6.017811291,6.748397223,7.693566484,8.124308478,8.912418045,10.26044044,11.09948376,12.86199014,14.0028187,16.2726312,17.9173858,20.37599659,22.81228182,25.96540507,28.9868406,32.39363065,36.79945523,41.04868108,46.51970206,52.54178448,59.40462343,67.05719298,76.01651357,85.46163054,95.88658918,106.5531539,118.0213487,131.0811,145.6611531,161.536319,179.1233009,198.80685,220.4827705,245.0424709,272.0677658,301.7943561,334.9548151,371.9387578,412.3841509,457.8051709,508.4577993,564.2231059,626.3549426,695.1052948,771.802827,856.6335559,910.4764796,910.414529,910.1787253,910.1825172,910.2881933,910.2738044,910.4429008,0,0,0,0,0,0,0,0,0,0
female,smoker,0,0,0,0,0,0,0,0,0,0,0.852744323,0.877654026,0.864190461,0.866020884,0.818866108,0.811790421,0.789649483,0.777015024,0.749295212,1.267191201,1.21874026,1.151367467,1.10455044,1.087686404,1.089952952,1.072421225,1.061244264,1.038531174,1.062855097,1.046432179,1.061895709,1.11182224,1.152406993,1.245031013,1.328334154,1.415723976,1.48287411,1.606709997,1.737345789,1.916258385,2.100534762,2.240615409,2.484631841,2.676478745,2.943250448,3.240070488,3.514946926,3.850170703,4.57421571,5.080107196,5.308168287,6.13116614,6.837338415,7.214293455,7.941122383,9.004224103,9.673928101,11.19875496,11.89165359,13.39088156,14.55347324,16.22272701,18.00248207,20.08992588,22.0697437,24.45419069,27.11369674,30.02551991,33.15988806,36.69361744,40.65454502,44.81919701,49.69396567,55.63417932,61.3306579,68.15540655,75.79171354,84.127237,93.24097154,103.4700715,115.0254367,127.6143783,141.6744337,157.0157361,174.3218516,193.3447698,214.7213484,238.4101081,264.6707984,293.3699374,326.004275,361.5994614,401.2561871,445.2667334,494.4784376,548.6615041,609.2884504,675.8881374,750.3020022,832.999337,875.1489139,0,0,0,0,0,0,0,0,0,0
